model,dataset,n_runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
FacebookAI/roberta/large,bosch_all_in,8,73.6625,5.107553929510408,52.0425,6.9272211497210625,57.37875,5.888614771622558
FacebookAI/roberta/large,bosch_cti_sent,12,74.65083333333332,5.876083201238626,49.94416666666667,4.795426719723946,57.129999999999995,2.7579043427277155
FacebookAI/roberta/large,bosch_cti_sent_only,1,77.36,,44.52,,54.05,
FacebookAI/roberta/large,bosch_train_augmented_mitre,11,64.03727272727272,1.9952097178446706,54.91727272727273,3.8826127566603668,56.79363636363637,2.23646271029621
ehsanaghaei/SecureBERT,tram_all_in,10,73.255,1.5009571020592931,65.08500000000001,5.900785729224733,67.047,3.050770576610301
ehsanaghaei/SecureBERT,tram_cti_sent,10,75.354,2.2949035322257525,65.61699999999999,5.629712939198391,68.039,3.3543817115329397
ehsanaghaei/SecureBERT,tram_cti_sent_only,9,78.36777777777777,1.9705505434889115,61.33444444444444,4.111140690584271,65.87222222222222,2.7200862935657795
ehsanaghaei/SecureBERT,tram_train_augmented_mitre,10,73.442,1.612305457687498,58.321000000000005,6.657479419586831,62.388999999999996,3.418630167511863
